Band_Index,Combined_Importance,Undefined_Importance,Water_Importance,Non-Water_Importance,Raw_SHAP_Undefined,Raw_SHAP_Water,Raw_SHAP_Non-Water,Is_Selected,Rank
93,0.14973567749165131,0.016404045184632444,0.15972128358565915,0.1537849800615402,4.08323830149504e-05,-0.000513320844842903,0.000593130823068491,1,1
85,0.14786554235800048,0.024121983188757943,0.1170131371856616,0.1917435853376281,3.6784781285659614e-05,-0.00025977688296323175,0.0005420555841703459,1,2
87,0.13256535850766205,0.0014432828353161142,0.10601870907975934,0.17291433169054854,1.4874413423614611e-05,-0.0005209281718311048,0.0008686167587949125,1,3
81,0.13075397024645108,0.0023053773813226544,0.08851813680908605,0.18651070819593488,5.915353204652414e-06,-0.00020249925475606458,0.00048561886317906463,1,4
91,0.13015718006643562,0.006924860753588894,0.12206143324934442,0.15122474996908963,9.098995685128662e-05,-0.0004469880094338123,0.00043855092275163347,1,5
89,0.12574158925751877,0.015740001953974257,0.08969796489961764,0.17336432806842464,-6.915340765371064e-05,-0.0002633442012544075,0.0006143650483788224,1,6
83,0.12189299435296667,0.015720020831387918,0.08498049973462717,0.16998159144726185,-2.592367309893614e-06,-0.0003773298866924553,0.0007794359422313899,1,7
79,0.11358250765740877,0.03783617727501761,0.07831451036452687,0.1568238028852792,-0.00011729854753590914,-0.00029560873467293137,0.000499756516907194,1,8
95,0.10057740703662595,0.021410796996287566,0.07798154840991733,0.13150659303600176,0.0001251621681437569,-0.00036364533701730117,0.0005093648887100929,1,9
97,0.09485507966237286,0.011612453098721592,0.07169630485080504,0.12677623621748293,1.4932257974280064e-05,-0.00029753610232913333,0.0004251978334013936,1,10
86,0.07711880491192988,0.0609799865936752,0.0504574590597203,0.10547897374500838,7.497536782962378e-05,-0.00010351349806019292,0.0004234230445757665,1,11
77,0.07610305423657249,0.01775509205112286,0.0657121717689,0.09263582746060811,8.179372311508015e-05,-0.00012727566967642018,0.0004072607368107628,1,12
92,0.07557197180120745,0.014849232782601151,0.05375419203593967,0.10378161883159169,4.959499326858742e-05,-0.0001791036625442406,0.0001958075448527775,1,13
